Date,Price,Open,High,Low,Volume,Change %
"Nov 25, 2018",118.83,114.99,121.1,103.51,1.18M,3.03%
"Nov 24, 2018",115.33,125.07,129.61,111.97,577.65K,-7.91%
"Nov 23, 2018",125.24,126.27,128.4,120,675.20K,-1.71%
"Nov 22, 2018",127.42,138.55,140.18,127.18,349.52K,-7.87%
"Nov 21, 2018",138.31,134.04,141.39,127.63,834.37K,2.72%
"Nov 20, 2018",134.65,151.14,154.17,128.15,1.50M,-11.06%
"Nov 19, 2018",151.4,178.8,178.8,148.48,930.87K,-15.40%
"Nov 18, 2018",178.95,176.4,182,176.2,151.57K,1.73%
"Nov 17, 2018",175.9,176.99,177.52,174.22,99.38K,-0.77%
"Nov 16, 2018",177.26,183.54,184.66,173.82,301.04K,-3.80%
"Nov 15, 2018",184.27,187.2,189.31,172.06,534.86K,-0.88%
"Nov 14, 2018",185.9,209.85,211.25,177.61,856.09K,-11.54%
"Nov 13, 2018",210.14,212.71,213.36,209.18,115.63K,-1.21%
"Nov 12, 2018",212.71,213.91,214.25,210.78,92.71K,-0.13%
"Nov 11, 2018",212.99,213.2,213.68,209.05,89.76K,-0.10%
"Nov 10, 2018",213.2,210.83,215.53,210.53,67.05K,1.04%
"Nov 09, 2018",211.01,212.7,215.36,209.59,76.54K,-0.82%
"Nov 08, 2018",212.76,218.99,220.52,212.76,107.04K,-2.84%
"Nov 07, 2018",218.99,220.87,225,217.28,238.74K,-0.84%
"Nov 06, 2018",220.85,210.89,221.03,209.19,199.59K,4.72%
"Nov 05, 2018",210.89,212.53,212.68,207.92,110.75K,-0.56%
"Nov 04, 2018",212.08,200.31,218.34,199.04,246.58K,5.99%
"Nov 03, 2018",200.1,202.23,202.49,199.21,56.64K,-1.05%
"Nov 02, 2018",202.23,199.87,203.5,199.86,101.69K,1.25%
"Nov 01, 2018",199.73,199.14,200.21,198.05,49.92K,0.52%
"Oct 31, 2018",198.7,197.32,200.05,193.24,128.40K,0.59%
"Oct 30, 2018",197.54,196.91,198.4,195.97,75.04K,0.32%
"Oct 29, 2018",196.91,205.12,205.37,195.77,173.71K,-3.93%
"Oct 28, 2018",204.96,204.23,205.51,203.84,43.06K,0.36%
"Oct 27, 2018",204.23,205.11,205.75,203.11,37.48K,-0.39%
"Oct 26, 2018",205.03,204.09,208.08,203.46,158.09K,0.66%
"Oct 25, 2018",203.69,205.11,205.79,202.9,65.61K,-0.76%
"Oct 24, 2018",205.24,205.89,207.87,205.18,83.33K,-0.32%
"Oct 23, 2018",205.9,206.55,207.7,202.81,116.46K,-0.13%
"Oct 22, 2018",206.16,207.02,208.74,205.36,74.23K,-0.56%
"Oct 21, 2018",207.32,208.15,211.24,207.1,87.01K,-0.41%
"Oct 20, 2018",208.16,204.77,209.68,203.6,90.81K,1.59%
"Oct 19, 2018",204.9,206.12,207.25,204,136.34K,-0.57%
"Oct 18, 2018",206.08,213,214.67,203.9,187.51K,-3.21%
"Oct 17, 2018",212.92,214.85,216.7,210.31,105.70K,-1.02%
"Oct 16, 2018",215.12,213.59,218.4,211.49,136.36K,0.53%
"Oct 15, 2018",213.99,195.58,238.85,194.5,967.31K,8.72%
"Oct 14, 2018",196.83,201.28,203.2,195.2,166.03K,-2.19%
"Oct 13, 2018",201.23,196.85,202.58,196.85,134.53K,2.14%
"Oct 12, 2018",197.02,191.52,201.2,189.98,292.02K,3.07%
"Oct 11, 2018",191.16,226.48,226.48,190.08,657.53K,-15.68%
"Oct 10, 2018",226.7,228.63,228.63,224.04,152.86K,-0.79%
"Oct 09, 2018",228.51,230.57,231.02,227.15,109.38K,-0.73%
"Oct 08, 2018",230.2,226.9,232.36,224.2,247.53K,1.75%
"Oct 07, 2018",226.23,225.21,227.51,221.76,102.43K,0.41%
"Oct 06, 2018",225.31,228.44,229,223.29,106.61K,-1.46%
"Oct 05, 2018",228.65,222.58,233,219.76,201.59K,2.86%
"Oct 04, 2018",222.3,220.68,227.19,219.6,186.79K,0.70%
"Oct 03, 2018",220.74,225.79,226.48,215.74,274.97K,-2.31%
"Oct 02, 2018",225.97,231.49,232.26,224.69,132.13K,-2.38%
"Oct 01, 2018",231.48,233.7,235.13,225.35,180.64K,-0.55%
"Sep 30, 2018",232.75,231.33,238.92,226.27,312.40K,0.29%
"Sep 29, 2018",232.08,221.11,237.24,213,478.41K,4.54%
"Sep 28, 2018",222.01,229.29,233.54,214.88,484.34K,-3.18%
"Sep 27, 2018",229.29,214.24,232.66,210.6,377.34K,6.93%
"Sep 26, 2018",214.44,219.26,222.61,207.32,412.70K,-1.85%
"Sep 25, 2018",218.48,227.84,227.84,203.52,691.87K,-4.11%
"Sep 24, 2018",227.85,243.48,245.9,225.39,402.79K,-6.89%
"Sep 23, 2018",244.7,240.99,249.44,237.39,248.22K,1.54%
"Sep 22, 2018",241,251.91,254.9,233.31,346.30K,-2.74%
"Sep 21, 2018",247.8,227,251.82,221.62,712.19K,9.65%
"Sep 20, 2018",226,210.01,229.44,207.05,452.53K,7.71%
"Sep 19, 2018",209.83,208.52,214.08,196,630.69K,0.49%
"Sep 18, 2018",208.8,195.61,214.37,194.07,595.19K,6.18%
"Sep 17, 2018",196.65,222.1,224.83,192.55,968.38K,-10.68%
"Sep 16, 2018",220.16,221.48,223.57,204.12,375.94K,-0.66%
"Sep 15, 2018",221.63,208.5,227.65,208.33,454.09K,5.76%
"Sep 14, 2018",209.56,212.2,223.43,203.11,822.42K,-0.53%
"Sep 13, 2018",210.67,183.38,215,183.38,857.54K,14.99%
"Sep 12, 2018",183.21,184.97,184.99,167.72,744.43K,-1.10%
"Sep 11, 2018",185.24,199.01,199.17,178,469.07K,-5.92%
"Sep 10, 2018",196.89,195.98,202.74,187,350.63K,0.42%
"Sep 09, 2018",196.06,197.3,208.37,185.41,420.73K,-0.29%
"Sep 08, 2018",196.63,215.83,219.89,190.96,376.26K,-8.72%
"Sep 07, 2018",215.4,229.72,234.37,213.79,305.53K,-6.26%
"Sep 06, 2018",229.79,228.77,232.11,211.71,525.14K,0.71%
"Sep 05, 2018",228.18,285.35,287.97,226.7,593.27K,-19.98%
"Sep 04, 2018",285.17,289.27,293,282.72,170.22K,-1.42%
"Sep 03, 2018",289.28,295.85,296.27,286.19,125.40K,-1.70%
"Sep 02, 2018",294.27,295.73,299.42,289.56,127.05K,-0.49%
"Sep 01, 2018",295.72,281.84,302.17,281.84,206.00K,4.91%
"Aug 31, 2018",281.87,284.1,284.88,276.41,142.43K,-0.84%
"Aug 30, 2018",284.25,288.76,291.01,272.45,216.13K,-1.68%
"Aug 29, 2018",289.1,295.6,297.01,284.35,150.49K,-2.20%
"Aug 28, 2018",295.59,288.17,297.98,282.83,180.50K,2.59%
"Aug 27, 2018",288.12,274.33,288.12,271.71,159.85K,5.03%
"Aug 26, 2018",274.33,277.28,277.64,269.44,113.45K,-1.07%
"Aug 25, 2018",277.29,281.28,283.04,276.73,79.04K,-1.43%
"Aug 24, 2018",281.3,275.86,283.12,270.2,111.68K,1.97%
"Aug 23, 2018",275.86,270.5,280.3,268.28,154.46K,2.07%
"Aug 22, 2018",270.26,281.25,299.33,259.28,333.34K,-3.97%
"Aug 21, 2018",281.42,270.55,286.24,269.88,151.94K,3.92%
"Aug 20, 2018",270.8,299.21,304.08,269.45,210.05K,-9.54%
"Aug 19, 2018",299.37,294.3,306.45,288.65,154.97K,1.72%
"Aug 18, 2018",294.3,317.68,321.1,282.78,216.90K,-7.31%
"Aug 17, 2018",317.51,286.86,318.63,285.32,293.81K,10.66%
"Aug 16, 2018",286.92,281.07,298.95,278.01,195.61K,2.01%
"Aug 15, 2018",281.27,278.5,304.3,277.11,386.13K,1.11%
"Aug 14, 2018",278.17,283.93,283.93,250.8,447.66K,-2.03%
"Aug 13, 2018",283.92,318.17,322.86,280.81,320.35K,-10.76%
"Aug 12, 2018",318.16,317.84,327.32,314.26,123.15K,0.13%
"Aug 11, 2018",317.76,331.71,332.52,305.06,261.39K,-4.19%
"Aug 10, 2018",331.65,363.27,365.6,326.22,170.12K,-8.69%
"Aug 09, 2018",363.21,356.17,369.94,350.83,129.44K,2.13%
"Aug 08, 2018",355.62,377.82,380.24,348.17,307.73K,-5.88%
"Aug 07, 2018",377.82,404.86,410.49,368.75,190.72K,-6.74%
"Aug 06, 2018",405.13,408.75,413.57,401.15,45.62K,-0.89%
"Aug 05, 2018",408.75,407.06,413.38,399.75,89.02K,0.43%
"Aug 04, 2018",407,417.66,419,401.7,107.43K,-2.57%
"Aug 03, 2018",417.72,410.9,419.66,397.99,148.12K,1.66%
"Aug 02, 2018",410.89,420.08,424.63,407.69,78.96K,-2.18%
"Aug 01, 2018",420.03,432.17,434.93,407.75,182.07K,-2.69%
"Jul 31, 2018",431.65,456.6,457.56,427.51,149.00K,-5.47%
"Jul 30, 2018",456.65,466.47,469.4,446.68,133.40K,-2.11%
"Jul 29, 2018",466.47,469.14,472.15,461.39,42.39K,-0.66%
"Jul 28, 2018",469.56,470.24,471.67,461.35,44.40K,-0.14%
"Jul 27, 2018",470.21,462.29,474.28,456.64,108.98K,1.71%
"Jul 26, 2018",462.3,471.88,484.5,460,87.41K,-2.03%
"Jul 25, 2018",471.89,479.32,485.22,464.28,94.99K,-1.64%
"Jul 24, 2018",479.77,449.47,484.51,448.62,166.83K,6.79%
"Jul 23, 2018",449.26,457.41,470.2,446.57,158.18K,-1.91%
"Jul 22, 2018",457.99,460.75,471.88,455,65.14K,-0.60%
"Jul 21, 2018",460.74,449.14,468.3,441.59,99.66K,2.58%
"Jul 20, 2018",449.13,468.63,469.5,439.95,170.21K,-4.16%
"Jul 19, 2018",468.64,478.97,484.31,462.69,139.42K,-2.15%
"Jul 18, 2018",478.96,499.35,515.28,469.17,194.02K,-4.04%
"Jul 17, 2018",499.11,478.71,511.33,466.04,190.93K,4.18%
"Jul 16, 2018",479.09,450,480.6,445.17,205.39K,6.49%
"Jul 15, 2018",449.9,433.51,455.22,431.19,82.15K,3.78%
"Jul 14, 2018",433.5,432.17,439.85,427.9,71.14K,0.31%
"Jul 13, 2018",432.16,430.9,442.15,424.41,104.05K,0.27%
"Jul 12, 2018",430.99,445.53,445.71,417.8,136.87K,-3.18%
"Jul 11, 2018",445.14,432.7,447,424.88,112.40K,2.95%
"Jul 10, 2018",432.39,471.56,473.09,427.05,254.29K,-8.30%
"Jul 09, 2018",471.55,486.09,487.89,468.79,111.26K,-2.99%
"Jul 08, 2018",486.1,486.75,495.34,482.56,109.84K,-0.13%
"Jul 07, 2018",486.71,470.37,488.7,461.85,119.51K,3.51%
"Jul 06, 2018",470.19,467.52,476.2,451.75,133.85K,0.43%
"Jul 05, 2018",468.18,467.47,478.54,458.3,189.42K,0.15%
"Jul 04, 2018",467.46,462.01,481.68,451.54,143.95K,1.23%
"Jul 03, 2018",461.78,476.8,487.06,459.91,160.61K,-3.15%
"Jul 02, 2018",476.79,452.02,482.04,443.1,186.41K,5.48%
"Jul 01, 2018",452.03,454.19,456.93,443.1,81.75K,-0.40%
"Jun 30, 2018",453.85,435.7,463.1,435.7,171.42K,4.17%
"Jun 29, 2018",435.7,420.78,442.71,405,231.79K,3.55%
"Jun 28, 2018",420.78,441.65,443.49,417.73,148.35K,-4.73%
"Jun 27, 2018",441.66,429.32,446.75,419.45,187.47K,2.83%
"Jun 26, 2018",429.51,459.01,461.4,429.11,183.01K,-6.42%
"Jun 25, 2018",459,455,473.57,445.34,186.20K,0.81%
"Jun 24, 2018",455.32,473.6,475.48,421,282.23K,-3.83%
"Jun 23, 2018",473.47,462.12,480.64,454.44,122.71K,2.53%
"Jun 22, 2018",461.77,526.1,526.11,449,335.14K,-12.23%
"Jun 21, 2018",526.11,536.3,545.3,521.91,93.37K,-1.89%
"Jun 20, 2018",536.26,537.84,542.07,517.01,137.77K,-0.41%
"Jun 19, 2018",538.47,517.73,548.31,515.11,166.36K,4.02%
"Jun 18, 2018",517.64,496.7,524.42,487.36,135.52K,4.45%
"Jun 17, 2018",495.6,496.78,507.71,493.5,76.26K,-0.29%
"Jun 16, 2018",497.02,487.34,503.04,483.74,115.27K,2.00%
"Jun 15, 2018",487.27,520.09,520.85,482.73,208.59K,-6.24%
"Jun 14, 2018",519.69,476.4,526.07,459.68,389.72K,9.14%
"Jun 13, 2018",476.15,493.74,501.11,450.11,338.36K,-3.66%
"Jun 12, 2018",494.25,530.87,540,483.97,263.83K,-6.88%
"Jun 11, 2018",530.78,523,535.56,509.26,234.56K,1.40%
"Jun 10, 2018",523.44,592.55,592.55,500.49,316.08K,-11.76%
"Jun 09, 2018",593.2,599.91,609.73,591.38,60.80K,-1.12%
"Jun 08, 2018",599.9,604.35,608.43,593.07,77.90K,-0.91%
"Jun 07, 2018",605.39,606.66,617.16,599.08,106.66K,-0.21%
"Jun 06, 2018",606.67,608.71,611.99,593.19,100.34K,-0.33%
"Jun 05, 2018",608.68,593,613.57,576.1,118.17K,2.98%
"Jun 04, 2018",591.09,619.4,625.03,580,158.61K,-4.57%
"Jun 03, 2018",619.39,590.45,628.69,590.04,126.91K,4.90%
"Jun 02, 2018",590.44,579.24,600,573.9,149.63K,1.94%
"Jun 01, 2018",579.23,577,589.81,564.35,153.82K,0.32%
"May 31, 2018",577.41,557.1,586.54,553.18,187.67K,3.66%
"May 30, 2018",557.01,567.15,585.17,542,198.94K,-1.74%
"May 29, 2018",566.9,512,572.27,511,329.84K,10.72%
"May 28, 2018",511.99,569,574,500,484.57K,-10.02%
"May 27, 2018",569,584.63,591.94,553.23,266.25K,-2.83%
"May 26, 2018",585.6,583.74,606.78,578.13,135.38K,0.20%
"May 25, 2018",584.42,602.53,615.8,567.76,251.31K,-3.00%
"May 24, 2018",602.52,576.89,608.5,540,415.41K,4.44%
"May 23, 2018",576.9,640,649.49,564.04,418.70K,-9.93%
"May 22, 2018",640.51,696.51,698.11,638.28,202.52K,-7.99%
"May 21, 2018",696.13,715.5,719.68,686.74,84.90K,-2.71%
"May 20, 2018",715.5,695.62,722.64,687.44,116.42K,2.82%
"May 19, 2018",695.88,693.61,717.73,682.07,108.11K,0.33%
"May 18, 2018",693.6,667.84,694.75,657.59,148.10K,3.86%
"May 17, 2018",667.84,706.57,718.9,660.75,151.28K,-5.52%
"May 16, 2018",706.89,705.07,709.99,659,182.20K,0.26%
"May 15, 2018",705.06,727.42,739.29,694.97,174.35K,-3.07%
"May 14, 2018",727.41,728.83,742.32,685.53,287.31K,-0.19%
"May 13, 2018",728.78,683.44,740,668.82,205.65K,6.75%
"May 12, 2018",682.69,677.98,690.43,637.13,267.20K,0.69%
"May 11, 2018",677.98,723.25,736.16,666,347.93K,-6.28%
"May 10, 2018",723.39,751.86,768.01,722.79,174.17K,-3.79%
"May 09, 2018",751.87,747.18,760.32,710.06,191.07K,0.53%
"May 08, 2018",747.94,752.39,775.49,720.33,240.74K,-0.56%
"May 07, 2018",752.14,794.17,797.96,692.28,662.51K,-5.25%
"May 06, 2018",793.79,819.68,838,754.93,235.79K,-3.16%
"May 05, 2018",819.69,784.65,830,782.05,193.96K,4.35%
"May 04, 2018",785.52,779.38,808.72,760.87,253.57K,0.79%
"May 03, 2018",779.39,688,790,687.07,383.79K,13.29%
"May 02, 2018",687.99,671.45,692,662.77,167.63K,2.53%
"May 01, 2018",671.01,670.35,675.17,628.02,221.00K,0.15%
"Apr 30, 2018",670,690.89,694.47,663.43,165.25K,-2.89%
"Apr 29, 2018",689.93,683.27,700,663.83,161.27K,0.97%
"Apr 28, 2018",683.27,643.2,694.34,640.25,185.22K,6.18%
"Apr 27, 2018",643.49,661.2,686.04,640.94,231.49K,-2.72%
"Apr 26, 2018",661.51,616.32,666,600.11,272.43K,7.09%
"Apr 25, 2018",617.7,702.99,703.6,596.99,674.54K,-12.13%
"Apr 24, 2018",702.98,643.97,711.88,643.81,335.69K,9.16%
"Apr 23, 2018",643.98,621,643.98,619.4,166.77K,3.56%
"Apr 22, 2018",621.85,604.69,643.74,591.38,206.38K,2.73%
"Apr 21, 2018",605.35,616.36,624.59,576,231.23K,-1.83%
"Apr 20, 2018",616.65,566.92,621.51,558.04,274.75K,8.85%
"Apr 19, 2018",566.53,525.87,569.98,522.21,211.20K,7.80%
"Apr 18, 2018",525.55,503.14,526.89,501.87,132.76K,4.46%
"Apr 17, 2018",503.13,511.28,522,501.5,156.51K,-1.60%
"Apr 16, 2018",511.29,534.03,537.33,499.33,219.55K,-4.26%
"Apr 15, 2018",534.04,502.43,534.18,502.43,242.20K,6.32%
"Apr 14, 2018",502.28,495.35,514.93,486.94,187.57K,1.64%
"Apr 13, 2018",494.16,493.55,528.36,482.23,411.86K,0.24%
"Apr 12, 2018",493,430,498.7,413.65,392.46K,14.72%
"Apr 11, 2018",429.74,415.71,433.14,412.13,176.17K,3.52%
"Apr 10, 2018",415.12,398.84,417.9,391,146.65K,4.09%
"Apr 09, 2018",398.79,400.33,430.73,387.31,329.86K,-0.39%
"Apr 08, 2018",400.34,384.16,404.07,384.16,134.99K,4.21%
"Apr 07, 2018",384.16,369.74,394.59,368.85,143.72K,3.90%
"Apr 06, 2018",369.73,380.99,385.44,363.03,151.02K,-2.95%
"Apr 05, 2018",380.98,378,387.1,366.12,182.50K,0.79%
"Apr 04, 2018",377.99,415.41,416.54,369.82,256.60K,-9.01%
"Apr 03, 2018",415.43,386.16,417.88,379.83,223.28K,7.76%
"Apr 02, 2018",385.5,378.68,393.99,375.26,196.17K,1.80%
"Apr 01, 2018",378.67,393.37,398.84,358.01,325.75K,-3.64%
"Mar 31, 2018",392.97,393.08,418.5,389,273.24K,-0.03%
"Mar 30, 2018",393.09,384.1,411.12,364.66,501.96K,2.34%
"Mar 29, 2018",384.11,445.37,448,379.6,470.08K,-13.75%
"Mar 28, 2018",445.37,448.19,465.52,439.99,165.08K,-0.55%
"Mar 27, 2018",447.85,485.2,491.35,446.1,310.88K,-7.66%
