Date,Price,Open,High,Low,Volume,Change %
"Mar 26, 2018",485,522.41,525.37,466.9,224.43K,-7.16%
"Mar 25, 2018",522.41,519.05,535.65,513.06,81.71K,0.70%
"Mar 24, 2018",518.8,543.86,545.24,518,108.76K,-4.51%
"Mar 23, 2018",543.28,539.2,543.66,505.72,193.13K,0.76%
"Mar 22, 2018",539.19,559.22,577.27,515.36,181.65K,-3.72%
"Mar 21, 2018",560.04,556.38,590,544.59,185.47K,0.66%
"Mar 20, 2018",556.38,555,566.28,516.09,226.63K,0.25%
"Mar 19, 2018",554.99,536.73,557.99,514.95,346.87K,3.40%
"Mar 18, 2018",536.73,548.82,560.99,453.65,661.85K,-2.23%
"Mar 17, 2018",549,598.77,609.36,543.3,141.33K,-8.43%
"Mar 16, 2018",599.56,609.91,626.04,584.5,133.52K,-1.70%
"Mar 15, 2018",609.9,610.91,619.82,568.29,223.87K,-0.17%
"Mar 14, 2018",610.92,689.1,702.41,585.34,205.41K,-11.27%
"Mar 13, 2018",688.5,696.51,713.99,676.8,132.60K,-1.15%
"Mar 12, 2018",696.52,719.85,739.84,676.34,123.67K,-3.24%
"Mar 11, 2018",719.86,679.68,734.2,660.15,139.84K,5.91%
"Mar 10, 2018",679.68,724.62,745,676.27,117.94K,-6.20%
"Mar 09, 2018",724.61,697.3,727.81,639.04,229.75K,3.92%
"Mar 08, 2018",697.31,749.2,770,688.01,146.74K,-6.93%
"Mar 07, 2018",749.21,816.48,824.23,725.01,174.36K,-8.22%
"Mar 06, 2018",816.31,848.14,850,803.59,89.00K,-3.71%
"Mar 05, 2018",847.76,866.06,870,847.76,55.13K,-2.11%
"Mar 04, 2018",866.07,855.29,868.26,835.58,45.12K,1.26%
"Mar 03, 2018",855.3,854.79,868.7,852.63,40.49K,0.09%
"Mar 02, 2018",854.5,869.23,879.37,849.73,58.05K,-1.70%
"Mar 01, 2018",869.24,851.25,881.3,845.61,90.09K,2.11%
"Feb 28, 2018",851.26,871.2,888.46,850.75,93.98K,-2.31%
"Feb 27, 2018",871.36,868.6,895,862.08,93.51K,0.41%
"Feb 26, 2018",867.76,838.71,881.6,831.9,136.60K,3.49%
"Feb 25, 2018",838.47,831.51,848.38,816.13,101.28K,0.84%
"Feb 24, 2018",831.51,852.68,872.99,808.17,147.41K,-2.50%
"Feb 23, 2018",852.79,802.85,881.2,787,162.83K,6.22%
"Feb 22, 2018",802.85,837.8,868.94,788,180.65K,-4.17%
"Feb 21, 2018",837.79,884.5,903.33,815.32,220.26K,-5.28%
"Feb 20, 2018",884.51,939.19,958.99,875,150.18K,-5.82%
"Feb 19, 2018",939.18,913.1,955.84,909.4,118.34K,2.96%
"Feb 18, 2018",912.21,973.29,979,901,184.03K,-6.27%
"Feb 17, 2018",973.28,937.37,973.55,933.52,124.67K,3.83%
"Feb 16, 2018",937.38,925.02,944,907,134.07K,1.19%
"Feb 15, 2018",926.32,919.13,945,903.2,205.52K,0.78%
"Feb 14, 2018",919.11,839.69,922,839.69,199.27K,9.46%
"Feb 13, 2018",839.69,866.4,869.26,821.57,130.39K,-3.08%
"Feb 12, 2018",866.4,810.64,876.52,810.64,130.22K,6.88%
"Feb 11, 2018",810.64,851.66,854.5,778.52,146.90K,-4.85%
"Feb 10, 2018",852,878.01,908.99,815.52,165.70K,-3.06%
"Feb 09, 2018",878.9,814.01,881.69,780.53,182.42K,8.08%
"Feb 08, 2018",813.2,752.88,845.88,749.88,236.13K,8.25%
"Feb 07, 2018",751.25,782.99,848.6,716.3,416.98K,-3.88%
"Feb 06, 2018",781.6,698.62,798.7,566,790.23K,11.88%
"Feb 05, 2018",698.62,827.9,858,641.01,547.57K,-15.83%
"Feb 04, 2018",829.98,972.19,972.69,776,340.10K,-14.65%
"Feb 03, 2018",972.4,923.2,999,845,211.35K,5.32%
"Feb 02, 2018",923.3,1036.2,1038.7,769.99,520.79K,-10.90%
"Feb 01, 2018",1036.3,1120.7,1167,985.01,285.60K,-7.58%
"Jan 31, 2018",1121.3,1076.8,1128.7,1027.8,136.70K,4.21%
"Jan 30, 2018",1076,1174.3,1178.8,1041,246.88K,-8.43%
"Jan 29, 2018",1175,1245.5,1259.8,1155.9,139.56K,-5.74%
"Jan 28, 2018",1246.6,1114.7,1264.8,1109,189.36K,11.82%
"Jan 27, 2018",1114.8,1046.9,1125.3,1031.6,105.76K,6.48%
"Jan 26, 2018",1047,1048.2,1078.6,983,138.71K,-0.11%
"Jan 25, 2018",1048.2,1061.8,1102.4,1025.1,162.09K,-1.41%
"Jan 24, 2018",1063.2,982.11,1068.8,952.04,173.18K,8.16%
"Jan 23, 2018",982.98,995.26,1022,905.38,228.08K,-1.22%
"Jan 22, 2018",995.08,1047,1084.1,912.76,238.82K,-4.96%
"Jan 21, 2018",1047,1146.3,1146.3,1001.5,197.63K,-8.64%
"Jan 20, 2018",1146,1032.6,1160,1029.6,163.86K,10.98%
"Jan 19, 2018",1032.6,993.92,1079,960.1,174.91K,3.80%
"Jan 18, 2018",994.81,1020.1,1079,940,374.07K,-2.23%
"Jan 17, 2018",1017.5,1019.6,1088.3,770.1,686.58K,-0.25%
"Jan 16, 2018",1020.1,1275.8,1278.8,868.98,672.02K,-19.89%
"Jan 15, 2018",1273.4,1349.9,1377.9,1264.4,137.68K,-5.67%
"Jan 14, 2018",1350,1379.9,1385,1256,176.75K,-2.17%
"Jan 13, 2018",1380,1257,1423.2,1252.6,202.78K,9.77%
"Jan 12, 2018",1257.2,1135.1,1285,1083.4,209.24K,10.72%
"Jan 11, 2018",1135.5,1245.9,1331.8,1102.5,360.57K,-9.01%
"Jan 10, 2018",1248,1285.7,1381.9,1203.2,380.43K,-2.78%
"Jan 09, 2018",1283.7,1129.4,1299,1119.1,296.90K,13.67%
"Jan 08, 2018",1129.3,1115.9,1225,968.12,439.43K,1.21%
"Jan 07, 2018",1115.8,1004.3,1116,999.5,199.83K,11.10%
"Jan 06, 2018",1004.3,962.77,1014.2,951.38,127.79K,4.31%
"Jan 05, 2018",962.77,939.3,1023.6,930,298.24K,2.42%
"Jan 04, 2018",940,942.01,997,893.24,348.62K,-0.21%
"Jan 03, 2018",942.01,858.78,954.73,840,310.54K,9.69%
"Jan 02, 2018",858.78,752.46,890,752.46,420.96K,14.13%
"Jan 01, 2018",752.46,736.77,762,717.94,121.56K,2.13%
"Dec 31, 2017",736.77,682.22,741.99,675.56,153.38K,8.00%
"Dec 30, 2017",682.22,731.52,737.56,640.43,267.70K,-6.74%
"Dec 29, 2017",731.52,711.42,755,703.02,204.82K,2.83%
"Dec 28, 2017",711.42,736.45,740.3,652,255.38K,-3.40%
"Dec 27, 2017",736.45,749.8,766.06,703.27,167.81K,-1.78%
"Dec 26, 2017",749.8,709.81,749.8,708.83,149.07K,5.63%
"Dec 25, 2017",709.81,659.89,737,651.76,218.49K,7.56%
"Dec 24, 2017",659.89,672.59,675,560,312.62K,-1.89%
"Dec 23, 2017",672.59,628.19,717,616.19,240.69K,7.07%
"Dec 22, 2017",628.19,786.97,792,492.01,780.15K,-20.18%
"Dec 21, 2017",786.97,794.99,848.08,747.1,341.95K,-1.01%
"Dec 20, 2017",794.99,799.98,826.2,709,423.20K,-0.62%
"Dec 19, 2017",799.98,783.99,863,750.01,518.29K,2.04%
"Dec 18, 2017",783.99,708.78,798.9,660,420.29K,10.61%
"Dec 17, 2017",708.78,683.25,725,683.24,210.62K,3.74%
"Dec 16, 2017",683.25,678.29,711.96,672.51,200.94K,0.73%
"Dec 15, 2017",678.29,686.51,698.31,610,360.05K,-1.20%
"Dec 14, 2017",686.51,690.69,760,651,494.41K,-0.61%
"Dec 13, 2017",690.69,634.87,742,573,686.14K,8.79%
"Dec 12, 2017",634.87,515.25,646.92,497.75,425.21K,23.22%
"Dec 11, 2017",515.25,429.24,531.2,429.14,224.21K,20.04%
"Dec 10, 2017",429.24,460.92,460.92,413.3,250.23K,-6.87%
"Dec 09, 2017",460.92,442.19,487.8,441,322.50K,4.24%
"Dec 08, 2017",442.19,415.02,453.61,400.34,318.98K,6.55%
"Dec 07, 2017",415.02,413.71,429,390,322.00K,0.32%
"Dec 06, 2017",413.71,451.87,454.23,403,367.19K,-8.44%
"Dec 05, 2017",451.87,465,467.38,444.17,187.53K,-2.82%
"Dec 04, 2017",465,459.49,471.06,439.27,123.19K,1.20%
"Dec 03, 2017",459.49,455.51,482.69,431.04,137.97K,0.87%
"Dec 02, 2017",455.51,460.67,472,447,135.33K,-1.12%
"Dec 01, 2017",460.67,432.21,467,413.96,169.74K,6.58%
"Nov 30, 2017",432.21,420.34,454.95,385.4,224.57K,2.82%
"Nov 29, 2017",420.34,465.56,517,403.01,228.93K,-9.71%
"Nov 28, 2017",465.56,473.44,479,457.2,153.81K,-1.66%
"Nov 27, 2017",473.44,464,491.89,458.25,191.77K,2.03%
"Nov 26, 2017",464,464,464,464,-,0.00%
"Nov 25, 2017",464,469.89,481.99,454.4,168.49K,-1.38%
"Nov 24, 2017",470.51,405.19,478.5,397.37,258.20K,16.12%
"Nov 23, 2017",405.19,380.48,426.27,374.34,264.29K,6.49%
"Nov 22, 2017",380.48,360,381.89,358.8,138.90K,5.69%
"Nov 21, 2017",360,367.94,373.5,350,199.14K,-2.16%
"Nov 20, 2017",367.94,354.7,373.7,352.03,148.45K,3.73%
"Nov 19, 2017",354.7,346.68,371,343.28,176.58K,2.31%
"Nov 18, 2017",346.68,331,350.4,325.32,148.23K,4.74%
"Nov 17, 2017",331,331.16,335.01,325,151.63K,0.07%
"Nov 16, 2017",330.76,330.59,335.11,321.18,149.13K,0.05%
"Nov 15, 2017",330.59,334.28,339.61,321.5,167.05K,-1.10%
"Nov 14, 2017",334.28,313.22,336.69,313.22,244.03K,6.72%
"Nov 13, 2017",313.22,303.9,318,302.4,198.96K,3.07%
"Nov 12, 2017",303.9,313.07,316.99,293.33,251.26K,-2.93%
"Nov 11, 2017",313.07,296.18,319.88,294.7,172.77K,5.70%
"Nov 10, 2017",296.18,319.52,324.03,286,331.44K,-7.30%
"Nov 09, 2017",319.52,307.5,328.8,305,251.77K,3.91%
"Nov 08, 2017",307.5,291.42,318.9,290.11,335.69K,5.52%
"Nov 07, 2017",291.42,296.9,304.2,285.01,216.51K,-1.85%
"Nov 06, 2017",296.9,295.63,310,292,159.37K,0.43%
"Nov 05, 2017",295.63,299.48,301,292.28,98.63K,-1.29%
"Nov 04, 2017",299.48,303.47,304.38,293,132.54K,-1.31%
"Nov 03, 2017",303.47,284.89,307.36,284,217.42K,6.52%
"Nov 02, 2017",284.89,288.6,293.01,275.21,260.22K,-1.29%
"Nov 01, 2017",288.6,303.69,305.11,287.04,153.84K,-4.97%
"Oct 31, 2017",303.69,307,312,303.1,81.66K,-1.08%
"Oct 30, 2017",307,304.39,314.4,303.93,86.21K,0.86%
"Oct 29, 2017",304.39,293.49,312.49,290.5,166.62K,3.71%
"Oct 28, 2017",293.49,295.99,297.01,288.6,70.22K,-0.84%
"Oct 27, 2017",295.99,295.1,299.5,291.6,68.47K,0.30%
"Oct 26, 2017",295.1,295.46,299,290.55,59.36K,-0.12%
"Oct 25, 2017",295.46,296.3,300,288.5,94.09K,-0.28%
"Oct 24, 2017",296.3,284.85,311.85,280.02,216.67K,4.02%
"Oct 23, 2017",284.85,293.55,293.96,273.5,170.70K,-2.96%
"Oct 22, 2017",293.55,299.23,305.62,289.4,95.45K,-1.90%
"Oct 21, 2017",299.23,302.61,303,289.31,105.32K,-1.12%
"Oct 20, 2017",302.61,306.97,313.01,301.04,118.80K,-1.42%
"Oct 19, 2017",306.97,313.45,316.5,304,118.04K,-2.07%
"Oct 18, 2017",313.45,315.65,316.21,287.46,252.92K,-0.70%
"Oct 17, 2017",315.65,334.46,334.8,308,191.86K,-5.62%
"Oct 16, 2017",334.46,337.23,355,330.85,270.07K,-0.82%
"Oct 15, 2017",337.23,339.24,344.89,315,250.08K,-0.59%
"Oct 14, 2017",339.24,337.46,348,334.05,151.02K,0.53%
"Oct 13, 2017",337.46,303.06,350,298,383.16K,11.35%
"Oct 12, 2017",303.06,303.2,310.01,302.1,185.68K,-0.05%
"Oct 11, 2017",303.2,299.32,306.55,296.6,116.31K,1.30%
"Oct 10, 2017",299.32,297.4,307,292.57,104.64K,0.65%
"Oct 09, 2017",297.4,309.82,311.16,287.03,180.23K,-4.01%
"Oct 08, 2017",309.82,311.46,314.39,307.55,103.78K,-0.53%
"Oct 07, 2017",311.46,308.43,315,304.5,117.03K,0.98%
"Oct 06, 2017",308.43,295.12,309.59,293.04,106.64K,4.51%
"Oct 05, 2017",295.12,291.4,297.92,285.12,90.80K,1.28%
"Oct 04, 2017",291.4,291.69,296,287.56,112.70K,-0.10%
"Oct 03, 2017",291.69,296.82,300.5,285.93,129.15K,-1.73%
"Oct 02, 2017",296.82,304.26,304.63,292.1,133.99K,-2.45%
"Oct 01, 2017",304.26,303.44,305.57,295,110.10K,0.27%
"Sep 30, 2017",303.44,292.66,307.76,292.3,131.20K,3.68%
"Sep 29, 2017",292.66,302.63,303.9,280.5,276.12K,-3.29%
"Sep 28, 2017",302.63,309.75,310.69,297.75,140.29K,-2.30%
"Sep 27, 2017",309.75,289.28,315.51,286.93,213.82K,7.08%
"Sep 26, 2017",289.28,295.2,296.38,285.2,104.72K,-2.01%
"Sep 25, 2017",295.2,282,297.93,281.8,186.37K,4.68%
"Sep 24, 2017",282,285.9,294.54,275.41,196.56K,-1.36%
"Sep 23, 2017",285.9,262.19,287.2,259.01,162.98K,9.04%
"Sep 22, 2017",262.19,256.67,269.5,253.03,183.77K,2.15%
"Sep 21, 2017",256.67,283.5,287.53,251.52,292.98K,-9.46%
"Sep 20, 2017",283.5,282.63,294,277,146.38K,0.31%
"Sep 19, 2017",282.63,296.81,299,275,268.88K,-4.78%
"Sep 18, 2017",296.81,257,299.89,257,378.67K,15.49%
"Sep 17, 2017",257,253,263.69,239,195.92K,1.58%
"Sep 16, 2017",253,258.68,270,242.2,308.48K,-2.20%
"Sep 15, 2017",258.68,222.5,269,198,954.56K,16.26%
"Sep 14, 2017",222.5,275.48,281.01,221.71,642.98K,-19.23%
"Sep 13, 2017",275.48,293.9,294.16,256,449.34K,-6.27%
"Sep 12, 2017",293.9,297.19,316.73,283,261.52K,-1.11%
"Sep 11, 2017",297.19,297.9,308,287.33,174.01K,-0.24%
"Sep 10, 2017",297.9,303.08,305,276.11,254.70K,-1.71%
"Sep 09, 2017",303.08,304,307.08,291.46,169.79K,-0.30%
"Sep 08, 2017",304,334.1,334.58,291,309.62K,-9.01%
"Sep 07, 2017",334.1,337.36,338.66,321.1,166.57K,-0.97%
"Sep 06, 2017",337.36,316.18,339.5,314.81,230.11K,6.70%
"Sep 05, 2017",316.18,295.81,323.17,267.64,381.67K,6.89%
"Sep 04, 2017",295.81,350.63,351.59,275,569.73K,-15.63%
"Sep 03, 2017",350.63,345,368.4,328.33,212.17K,1.63%
"Sep 02, 2017",345,390.35,390.77,325.1,308.36K,-11.62%
"Sep 01, 2017",390.35,387.3,395.03,383.6,131.80K,0.79%
"Aug 31, 2017",387.3,382.78,390,380.1,98.59K,1.18%
"Aug 30, 2017",382.78,372,390.1,365.1,188.64K,2.90%
"Aug 29, 2017",372,347.09,375.98,346.42,180.48K,7.18%
"Aug 28, 2017",347.09,348.01,352,332.74,111.21K,-0.26%
"Aug 27, 2017",348.01,332.72,348.01,331.88,103.44K,4.60%
"Aug 26, 2017",332.72,328.7,334.6,324.5,90.18K,1.22%
"Aug 25, 2017",328.7,325.62,338.25,324.04,108.00K,0.95%
"Aug 24, 2017",325.62,316.5,329.56,314.14,93.42K,2.88%
"Aug 23, 2017",316.5,312.54,325,311.65,115.09K,1.27%
"Aug 22, 2017",312.54,322.24,329.96,285.01,244.94K,-3.01%
"Aug 21, 2017",322.24,298.37,346.99,294.53,329.81K,8.00%
"Aug 20, 2017",298.37,292.78,299,286.96,86.96K,1.91%
"Aug 19, 2017",292.78,292,298.51,280,158.37K,0.27%
"Aug 18, 2017",292,299,307,286,165.16K,-2.34%
"Aug 17, 2017",299,301.34,312,297.01,133.09K,-0.78%
"Aug 16, 2017",301.34,286,304,279.94,150.43K,5.36%
"Aug 15, 2017",286,298.22,299.91,272.29,179.77K,-4.10%
"Aug 14, 2017",298.22,296.64,306.48,293.99,106.08K,0.53%
"Aug 13, 2017",296.64,307.22,308,285.21,166.56K,-3.44%
"Aug 12, 2017",307.22,308.81,319.78,299,160.55K,-0.51%
"Aug 11, 2017",308.81,295.97,310.42,294,130.15K,4.34%
"Aug 10, 2017",295.97,293.99,310.05,287.6,155.41K,0.67%
"Aug 09, 2017",293.99,295.83,316,277,400.20K,-0.62%
"Aug 08, 2017",295.83,269.51,299.5,265,207.56K,9.77%
"Aug 07, 2017",269.51,264.29,274.6,257.32,146.17K,1.98%
"Aug 06, 2017",264.29,253.87,271.5,251,209.86K,4.10%
"Aug 05, 2017",253.87,220.73,259.9,219.23,234.87K,15.01%
"Aug 04, 2017",220.73,224.79,228.3,218.66,83.46K,-1.81%
"Aug 03, 2017",224.79,218,228.2,217.07,96.19K,3.11%
"Aug 02, 2017",218,225.97,229.7,215,159.47K,-3.53%
"Aug 01, 2017",225.97,200.81,232.59,200.8,352.31K,12.53%
"Jul 31, 2017",200.81,195.31,201.5,188.12,126.90K,2.82%
"Jul 30, 2017",195.31,206.76,210.76,192.21,149.31K,-5.54%
"Jul 29, 2017",206.76,191.2,213,176.95,247.44K,8.14%
"Jul 28, 2017",191.2,202.54,204.19,188.1,141.11K,-5.60%
"Jul 27, 2017",202.54,203.33,207,197.86,117.42K,-0.39%
"Jul 26, 2017",203.33,202.7,209.59,191.76,195.90K,0.31%
"Jul 25, 2017",202.7,226.59,227.69,190.49,309.49K,-10.54%
"Jul 24, 2017",226.59,228.15,232.56,223.64,101.65K,-0.68%
"Jul 23, 2017",228.15,232.01,236.57,219,117.35K,-1.66%
"Jul 22, 2017",232.01,216.11,237.19,214.35,158.92K,7.36%
"Jul 21, 2017",216.11,227.29,239,208,243.96K,-4.92%
"Jul 20, 2017",227.29,194.63,238,194.63,603.45K,16.78%
